id,postUrl,message,cta,intents
156921,https://twitter.com/gregorybayne/status/846012135993880576,5 DAYS LEFT for my new noir comedy feature on @kickstarter. Kindly take a gander here: https://t.co/8XR3b713Wv https://t.co/FnqdP4YB9i,,
156922,https://twitter.com/gregorybayne/status/845686345578115072,"$770 away from 40% funded this morning for 6 Dynamic Laws for Success In Life, Love &amp; Money. Y'all are amazing. https://t.co/8XR3b713Wv",,
156923,https://twitter.com/gregorybayne/status/845653455293235204,5 DAYS LEFT to meet our all-or-nothing goal to complete this zany noir comedy on @kickstarter. See the full trailerâ€_ https://t.co/kCP6RbdAj9,,
156924,https://twitter.com/gregorybayne/status/845653120298344449,Love you guys! https://t.co/K2yutqpBOr,,
156925,https://twitter.com/gregorybayne/status/845651685871566849,Thanks you for all the amazing support for #6dynamiclaws! We have 5 DAYS LEFT to meet ourâ€_ https://t.co/mrdvN41U48,,
156926,https://twitter.com/gregorybayne/status/845488072317812737,RT @filmfortfest: Be the first to see the Idaho-grown #6DynamicLaws at #filmfort! Sun at 430p https://t.co/RqAysORZlf  #treefort2017,,
156927,https://twitter.com/gregorybayne/status/845454321789558784,#6DynamicLaws is $987 away from 40% funded on @kickstarter. For once I made a film that isn't depressing. Join us! https://t.co/8XR3b713Wv,,
156928,https://twitter.com/gregorybayne/status/845373088585793536,"Thank you, @amirmotlagh. Appreciate you being part of #6DynamicLaws! Excited to share this one with you my friend.",,
156929,https://twitter.com/gregorybayne/status/845348990354780160,Looking for kind backers willing to help us hit 40% funded today. Just $1367 &amp; we're there. https://t.co/8XR3b713Wv #SupportIndieFilm,,
156930,https://twitter.com/gregorybayne/status/845345956350459904,"As a past @Tribeca N.O.W. creator, I'm thrilled 2 share the talented artists in this year's edition at #Tribeca2017. https://t.co/iON4wbJdOU",,
156931,https://twitter.com/gregorybayne/status/845303019277209600,"""Dynamic Law No. 1 - You Can't Get Something For Nothing"" We have less than a week left to meetâ€_ https://t.co/dF67TVYKUu",,
156932,https://twitter.com/gregorybayne/status/845282483046248449,"""What was the book?"" Thanks for all the incredible support for #6dynamiclaws! We have less thanâ€_ https://t.co/QpeqJghrzF",,
156933,https://twitter.com/gregorybayne/status/845092939424382976,In some very good company @treefortfest / @filmfortfest! So grateful to be part of this year'sâ€_ https://t.co/5DfUEBZOlA,,
156934,https://twitter.com/gregorybayne/status/845008987699372034,Free work-in-progress screening @filmfortfest this Sunday! Be among the first to get a peek at #6DynamicLaws.â€_ https://t.co/ThwlMB7n0S,,
156935,https://twitter.com/gregorybayne/status/844937734871433216,"When you make films far outside the mainstream, the only thing you really have to trade on is the work itself.â€_ https://t.co/iicUevoXyD",,
156936,https://twitter.com/gregorybayne/status/844930882183938048,Final Week for my new film #6DynamicLaws on @kickstarter. What in the world and am talking about? It's all here:â€_ https://t.co/08PXrc83uK,,
156937,https://twitter.com/gregorybayne/status/844751981126139904,"Reached the part in the @kickstarter campaign where pledge notifications outnumber ""we'll take your campaign 2 the next level"" emails. #phew",,
