"id","handle","postDate","postType","postUrl","imageUrl","source","sourceId","message","hashtag","cta","paid","comments","shares","likes","views","dislikes","interview","survey","notes","createdAt","updatedAt","CampaignId","intents"
156930,"gregorybayne","""2017-03-24T18:45:56.000Z""","post","https://twitter.com/gregorybayne/status/845345956350459904","","twitter","845345956350459900","As a past @Tribeca N.O.W. creator, I'm thrilled 2 share the talented artists in this year's edition at #Tribeca2017. https://t.co/iON4wbJdOU","Tribeca2017",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156931,"gregorybayne","""2017-03-24T15:55:19.000Z""","post","https://twitter.com/gregorybayne/status/845303019277209600","","twitter","845303019277209600","""Dynamic Law No. 1 - You Can't Get Something For Nothing"" We have less than a week left to meet… https://t.co/dF67TVYKUu","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156932,"gregorybayne","""2017-03-24T14:33:43.000Z""","post","https://twitter.com/gregorybayne/status/845282483046248449","","twitter","845282483046248400","""What was the book?"" Thanks for all the incredible support for #6dynamiclaws! We have less than… https://t.co/QpeqJghrzF","6dynamiclaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156933,"gregorybayne","""2017-03-24T02:00:32.000Z""","post","https://twitter.com/gregorybayne/status/845092939424382976","","twitter","845092939424383000","In some very good company @treefortfest / @filmfortfest! So grateful to be part of this year's… https://t.co/5DfUEBZOlA","",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156934,"gregorybayne","""2017-03-23T20:26:56.000Z""","post","https://twitter.com/gregorybayne/status/845008987699372034","","twitter","845008987699372000","Free work-in-progress screening @filmfortfest this Sunday! Be among the first to get a peek at #6DynamicLaws.… https://t.co/ThwlMB7n0S","6DynamicLaws",,,,2,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156935,"gregorybayne","""2017-03-23T15:43:48.000Z""","post","https://twitter.com/gregorybayne/status/844937734871433216","","twitter","844937734871433200","When you make films far outside the mainstream, the only thing you really have to trade on is the work itself.… https://t.co/iicUevoXyD","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156936,"gregorybayne","""2017-03-23T15:16:35.000Z""","post","https://twitter.com/gregorybayne/status/844930882183938048","","twitter","844930882183938000","Final Week for my new film #6DynamicLaws on @kickstarter. What in the world and am talking about? It's all here:… https://t.co/08PXrc83uK","6DynamicLaws",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156937,"gregorybayne","""2017-03-23T03:25:41.000Z""","post","https://twitter.com/gregorybayne/status/844751981126139904","","twitter","844751981126139900","Reached the part in the @kickstarter campaign where pledge notifications outnumber ""we'll take your campaign 2 the next level"" emails. #phew","phew",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156938,"gregorybayne","""2017-03-23T02:12:38.000Z""","post","https://twitter.com/gregorybayne/status/844733596027936768","","twitter","844733596027936800","True. Though, I think it might need to expand to the entire globe. Humans can be an odd, sad, forgetful lot, the wo… https://t.co/FjygZI7qH5","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156939,"gregorybayne","""2017-03-23T02:03:50.000Z""","post","https://twitter.com/gregorybayne/status/844731383725510656","","twitter","844731383725510700","So good. https://t.co/7SdRcoUuBw","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156940,"gregorybayne","""2017-03-23T00:48:29.000Z""","post","https://twitter.com/gregorybayne/status/844712421361176577","","twitter","844712421361176600","That moment when you look up and the clock says ""drinking is considered universally acceptable now.""","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156941,"gregorybayne","""2017-03-23T00:48:18.000Z""","post","https://twitter.com/gregorybayne/status/844712371792809985","","twitter","844712371792810000","RT @washingtonpost: How sketching a dying father led Daniel Clowes to his quirky new film ""Wilson"" https://t.co/Nne8lrH8Sd","",,,,18,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156942,"gregorybayne","""2017-03-22T15:17:47.000Z""","photo","https://twitter.com/gregorybayne/status/844568797503643649","http://pbs.twimg.com/ext_tw_video_thumb/844567698692485120/pu/img/-owYVax-h1FUYSCP.jpg","twitter","844568797503643600","#6DynamicLaws • Exclusive Clip • Meet the Sisters Duffrey. https://t.co/8XR3b713Wv https://t.co/I6WsXW7Xob","6DynamicLaws",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
