Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Crop Cycle,Jessica,230,9,Type 3 37/na,"convergentgames.ca (b)
trevor.lehmann.cg (p)",GamesCg,,,Done,,,3,37,0
Gluten-Free Cookbook,Church,231,13,Type 3 44/na,"fourspoonsglutenfreerecipes (b), nicole.knegt.5 (p)",,fourspoonsgf,fourspoonsgf,In Progress,,,3,44,0
DinosaurChannel.TV,Church,232,7,Type 3 27/na,,dinosaurchannel,,,Done,,,3,27,0
ONE-RoCa,Church,234,11,Type 3 29/na,therocaband,,,,Done,,,3,29,0
Heavy Gear Blitz,Church,237,9,Type 2 557/6,DreamPod9,,,,Done,,Lots of pre-hype posts and forum presence; likely outlier,2,557,6
Anarchy Models - HS Stencils - Flexible & Fully Re-usable,Jessica,239,9,Type 2 679/1,Anarchymodels.co.uk,,,,Done,,,2,679,1
Pale Moon Yarns,Church,240,3,Type 2 149/58,PaleMoonYarns,PaleMoonYarns,,,Done,,,2,149,58
La Malaerba,Church,242,7,Type 4 110/77,La-Malaerba-1504795026452926,lamalaerba,,,Done,,,4,110,77
INTRICACIES,Church,243,1,Type 2 433/3,"zoekellerart, christinamrozik","christinamrozik, zoekellerdraws","christinamrozikart, zoekellerart",,In Progress,,,2,433,3
So Saturday,Church,244,6,Type 4 108/95,,,so_saturday,,Done,Done,,4,108,95
Reformation c64,Church,245,11,Type 2 301/3,"c64audio, MattGrayC64","mattgrayc64 (NOT SCRAPING), c64audio",c64audio,"c64audio, UCIUMstuRTqj6uh250LXnHVA",In Progress,,,2,301,3
Pots On Wheels,Church,246,1,Type 4 128/79,"hayne.bayless (p), aderokai, potsonwheels","potterybyadero, potsonwheels","potsonwheels, potsinaction",,In Progress,,,4,128,79
Beautiful Day Cafe's Kitchen,Jessica,247,8,Type 1 103/100,"beautifuldaycafe (b)
CharolettAnn (p)",HiBeautifulDay,,,Done,In Progress,,1,103,100
Electric Car Insider,Church,248,10,Type 4 119/92,electriccarinsider,ecarinsider,,,Done,,,4,119,92
Unscene Patrol,Church,249,11,Type 3 47/na,ScenicRock,"kevintmcclure, ScenicRock",,UnscenePatrolTV,In Progress,,,3,47,0
Yellow-Bellied Sapsuckers,Church,250,11,Type 4 132/83,ybssmusic,,,UCctanOTy-rmELhwQLovuzhA,In Progress,,,4,132,83
KAPOTAS,Church,251,5,Type 4 105/97,KapotasDesigns,,,,Done,,Possible outlier,4,105,97
VIDEO GAMES LIVE: LEVEL 4! [Let's do it again!!!],Jessica,252,9,Type 1 125/85,"TommyTallarico2 (b)
VidGamesLive (b)
tommytallarico (p)","TommyTallarico
VideoGamesLive",,Tommy Tallarico,In Progress,,,1,125,85
IRON: The Animated Text Editor,Church,253,14,Type 3 23/na,john.stenersen (p),DarkVikingsIron,darkvikingsiron,,Done,In Progress,,3,23,0
